Time,Brightness,Face Coordinates,Face Area,Approximate Distance (cm)
1713275226.382541,118.57378038194445,"(513, 207, 272, 272)",73984,51.470588235294116
1713275227.474221,118.47200520833333,"(510, 207, 269, 269)",72361,52.04460966542751
1713275228.482839,118.20542860243056,"(512, 206, 264, 264)",69696,53.03030303030303
1713275229.484512,119.99955295138889,"(508, 217, 266, 266)",70756,52.63157894736842
1713275230.572166,119.41372721354166,"(505, 219, 269, 269)",72361,52.04460966542751
1713275231.5814779,119.23461154513889,"(502, 216, 279, 279)",77841,50.17921146953405
1713275232.676894,118.84123480902778,"(506, 218, 276, 276)",76176,50.72463768115942
1713275233.684835,119.20239149305556,"(511, 217, 274, 274)",75076,51.09489051094891
1713275234.688488,119.17407769097223,"(505, 217, 276, 276)",76176,50.72463768115942
1713275235.785107,118.948662109375,"(504, 218, 277, 277)",76729,50.541516245487365
1713275236.8771992,119.00324327256945,"(510, 224, 266, 266)",70756,52.63157894736842
1713275237.8833878,118.72786241319444,"(510, 228, 268, 268)",71824,52.23880597014925
1713275238.977497,118.17710069444445,"(513, 229, 264, 264)",69696,53.03030303030303
1713275239.983807,118.14182183159723,"(510, 226, 270, 270)",72900,51.851851851851855
1713275241.0471702,118.03156141493055,"(507, 222, 271, 271)",73441,51.66051660516605
1713275242.1444201,117.800966796875,"(507, 224, 272, 272)",73984,51.470588235294116
1713275243.24269,118.01831814236111,"(507, 224, 274, 274)",75076,51.09489051094891
1713275244.2494001,117.83462565104166,"(507, 219, 279, 279)",77841,50.17921146953405
1713275245.2782369,118.07494357638889,"(509, 224, 271, 271)",73441,51.66051660516605
1713275246.380712,118.23518663194444,"(507, 220, 275, 275)",75625,50.90909090909091
1713275247.474802,117.99472981770833,"(506, 220, 277, 277)",76729,50.541516245487365
1713275248.4752698,118.2911056857639,"(505, 221, 274, 274)",75076,51.09489051094891
1713275249.4783518,118.14996961805555,"(509, 223, 273, 273)",74529,51.282051282051285
1713275250.566008,120.79383680555556,"(503, 239, 269, 269)",72361,52.04460966542751
1713275251.5751538,120.9113650173611,"(504, 246, 267, 267)",71289,52.43445692883895
1713275252.657046,121.24128146701389,"(504, 248, 262, 262)",68644,53.43511450381679
1713275253.687774,121.44594184027778,"(503, 245, 267, 267)",71289,52.43445692883895
1713275254.7898052,121.4958203125,"(499, 244, 269, 269)",72361,52.04460966542751
1713275255.8753679,121.43403103298611,"(508, 246, 255, 255)",65025,54.90196078431372
1713275256.9425201,121.12425455729166,"(509, 248, 260, 260)",67600,53.84615384615385
1713275257.946358,120.07951063368056,"(502, 251, 268, 268)",71824,52.23880597014925
1713275258.974947,120.02468098958333,"(489, 243, 279, 279)",77841,50.17921146953405
1713275260.022082,121.83274522569444,"(491, 251, 273, 273)",74529,51.282051282051285
1713275261.045208,121.9296701388889,"(489, 248, 275, 275)",75625,50.90909090909091
1713275262.072746,122.20343424479167,"(492, 251, 272, 272)",73984,51.470588235294116
1713275263.07823,121.64715711805556,"(494, 251, 272, 272)",73984,51.470588235294116
1713275264.0841322,121.10288411458333,"(491, 243, 276, 276)",76176,50.72463768115942
1713275265.1139379,120.93376410590278,"(497, 247, 270, 270)",72900,51.851851851851855
1713275266.236969,120.966689453125,"(496, 242, 275, 275)",75625,50.90909090909091
1713275267.242504,120.7850661892361,"(497, 243, 275, 275)",75625,50.90909090909091
1713275268.2647839,120.474521484375,"(491, 241, 282, 282)",79524,49.645390070921984
1713275269.36451,120.54509006076388,"(492, 239, 281, 281)",78961,49.8220640569395
1713275270.402664,120.54793728298611,"(496, 239, 278, 278)",77284,50.35971223021583
1713275271.435532,120.57155164930556,"(498, 243, 275, 275)",75625,50.90909090909091
1713275272.483136,120.47123263888889,"(498, 239, 279, 279)",77841,50.17921146953405
1713275273.5307462,120.57277560763889,"(504, 245, 269, 269)",72361,52.04460966542751
1713275274.535732,120.63126302083333,"(498, 242, 272, 272)",73984,51.470588235294116
1713275275.630771,120.447919921875,"(506, 243, 270, 270)",72900,51.851851851851855
1713275276.6331809,120.26626302083334,"(501, 240, 277, 277)",76729,50.541516245487365
1713275277.7276878,120.41970486111111,"(498, 241, 277, 277)",76729,50.541516245487365
1713275278.730716,120.33930772569444,"(497, 241, 278, 278)",77284,50.35971223021583
1713275279.829043,120.39767469618056,"(499, 242, 276, 276)",76176,50.72463768115942
1713275280.8639302,120.43810221354167,"(499, 240, 277, 277)",76729,50.541516245487365
1713275281.869378,121.05304144965278,"(499, 247, 274, 274)",75076,51.09489051094891
1713275282.96017,121.53799370659722,"(495, 247, 275, 275)",75625,50.90909090909091
1713275284.05793,121.45714301215278,"(500, 249, 267, 267)",71289,52.43445692883895
1713275285.157879,121.37802951388889,"(491, 244, 277, 277)",76729,50.541516245487365
1713275286.159584,121.09048502604166,"(492, 245, 276, 276)",76176,50.72463768115942
1713275287.169033,121.1680642361111,"(491, 243, 275, 275)",75625,50.90909090909091
1713275288.2587678,120.94255316840278,"(499, 245, 272, 272)",73984,51.470588235294116
1713275289.359533,121.07819444444445,"(494, 240, 281, 281)",78961,49.8220640569395
1713275290.402411,121.4231857638889,"(494, 245, 276, 276)",76176,50.72463768115942
1713275291.424392,121.86335069444445,"(505, 257, 270, 270)",72900,51.851851851851855
1713275292.5225081,122.07522026909722,"(516, 266, 255, 255)",65025,54.90196078431372
1713275293.624413,122.25573025173611,"(514, 267, 255, 255)",65025,54.90196078431372
1713275294.7231941,121.96292209201388,"(517, 267, 252, 252)",63504,55.55555555555556
1713275295.7253098,121.91072591145833,"(514, 266, 255, 255)",65025,54.90196078431372
1713275296.820171,122.098212890625,"(514, 263, 255, 255)",65025,54.90196078431372
1713275297.8216279,120.69521375868055,"(500, 232, 250, 250)",62500,56.0
1713275298.9230359,119.77738172743055,"(485, 224, 272, 272)",73984,51.470588235294116
1713275299.960302,118.89028645833334,"(497, 221, 266, 266)",70756,52.63157894736842
1713275300.99833,119.07856770833334,"(501, 223, 262, 262)",68644,53.43511450381679
1713275302.0503721,119.70771809895834,"(494, 219, 273, 273)",74529,51.282051282051285
